# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
4.604604604604605100e+01 -7.459361238287542939e-02 -6.699626623843178263e-04
4.704704704704705165e+01 -7.520174762168933824e-02 -6.929109976657669805e-04
4.804804804804805229e+01 -7.578805818106548742e-02 -7.160422928485025680e-04
4.904904904904905294e+01 -7.635323987268370638e-02 -7.393499729313369887e-04
5.005005005005005358e+01 -7.689798775396659847e-02 -7.628276783309377454e-04
5.105105105105105423e+01 -7.742295089109235695e-02 -7.864692246088629025e-04
5.205205205205205488e+01 -7.792876266709557187e-02 -8.102686810292447726e-04
5.305305305305305552e+01 -7.841603440391507751e-02 -8.342202539147779757e-04
5.405405405405405617e+01 -7.888533987178054929e-02 -8.583183305962217889e-04
5.505505505505505681e+01 -7.933724784199408520e-02 -8.825575543836154712e-04
5.605605605605606456e+01 -7.977230471127680356e-02 -9.069326244929135951e-04
5.705705705705706521e+01 -8.019103227674763412e-02 -9.314384551115976411e-04
5.805805805805806585e+01 -8.059394370889884363e-02 -9.560701929765362799e-04
5.905905905905906650e+01 -8.098151028961972364e-02 -9.808229756559209717e-04
6.006006006006006714e+01 -8.135420762440158382e-02 -1.005692211849543855e-03
6.106106106106106779e+01 -8.171249821556013371e-02 -1.030673456915727438e-03
6.206206206206206843e+01 -8.205681285918674239e-02 -1.055762300723845368e-03
6.306306306306306908e+01 -8.238757794284701230e-02 -1.080954540257591341e-03
6.406406406406406973e+01 -8.270520040450647647e-02 -1.106246126385934886e-03
6.506506506506507037e+01 -8.301007680170521819e-02 -1.131633064676327172e-03
6.606606606606607102e+01 -8.330258640282686700e-02 -1.157111475613850117e-03
6.706706706706707166e+01 -8.358309861862911472e-02 -1.182677692077018991e-03
6.806806806806807231e+01 -8.385197811341352225e-02 -1.208328069344132265e-03
6.906906906906907295e+01 -8.410956104707519032e-02 -1.234059061195816884e-03
7.007007007007007360e+01 -8.435618851912377036e-02 -1.259867293000279656e-03
7.107107107107107424e+01 -8.459217882226661989e-02 -1.285749474923799816e-03
7.207207207207207489e+01 -8.481785398949454047e-02 -1.311702355817449600e-03
7.307307307307307553e+01 -8.503351248391108341e-02 -1.337722821118776445e-03
7.407407407407407618e+01 -8.523944747179387771e-02 -1.363807893976577961e-03
7.507507507507507682e+01 -8.543594821125634342e-02 -1.389954545220190279e-03
7.607607607607607747e+01 -8.562328822510684168e-02 -1.416160030756589841e-03
7.707707707707707812e+01 -8.580174543952676092e-02 -1.442421617922374664e-03
7.807807807807807876e+01 -8.597157474602112881e-02 -1.468736514360898058e-03
7.907907907907907941e+01 -8.613303270409693180e-02 -1.495102138471257570e-03
8.008008008008008005e+01 -8.628636463969663328e-02 -1.521515967397352957e-03
8.108108108108109491e+01 -8.643181360685488202e-02 -1.547975517002178093e-03
8.208208208208209555e+01 -8.656961137114722871e-02 -1.574478518439806525e-03
8.308308308308309620e+01 -8.669998309855059260e-02 -1.601022575832121908e-03
8.408408408408409684e+01 -8.682315309360118250e-02 -1.627605473666751072e-03
8.508508508508509749e+01 -8.693933666699180107e-02 -1.654225054453237328e-03
8.608608608608609813e+01 -8.704874383076044442e-02 -1.680879255806357574e-03
8.708708708708709878e+01 -8.715157773741366576e-02 -1.707565876595891225e-03
8.808808808808809943e+01 -8.724803553249511900e-02 -1.734282949521513467e-03
8.908908908908910007e+01 -8.733832418098673445e-02 -1.761028806197647255e-03
9.009009009009010072e+01 -8.742259509861138866e-02 -1.787801206916506602e-03
9.109109109109110136e+01 -8.750106923991790575e-02 -1.814598619818382332e-03
9.209209209209210201e+01 -8.757389413781271892e-02 -1.841419224325498019e-03
9.309309309309310265e+01 -8.764124701940506634e-02 -1.868261297850262433e-03
9.409409409409410330e+01 -8.770328431939136693e-02 -1.895123269385913176e-03
9.509509509509510394e+01 -8.776016583724273457e-02 -1.922003266311549672e-03
9.609609609609610459e+01 -8.781200576403389024e-02 -1.948900024312396652e-03
9.709709709709710523e+01 -8.785895020840005232e-02 -1.975811878296013669e-03
9.809809809809810588e+01 -8.790111259699399937e-02 -2.002737421041214574e-03
9.909909909909910652e+01 -8.793858980137111980e-02 -2.029675143332157223e-03
1.001001001001001072e+02 -8.797148220287433207e-02 -2.056623657423255203e-03
1.011011011011011078e+02 -8.799985696509216027e-02 -2.083581550197707421e-03
1.021021021021021085e+02 -8.802377588081312931e-02 -2.110547430601215652e-03
1.031031031031031091e+02 -8.804328504287732560e-02 -2.137519988353285983e-03
1.041041041041041098e+02 -8.805841308246505073e-02 -2.164497851075748540e-03
1.051051051051051104e+02 -8.806918719897398329e-02 -2.191479663800709361e-03
1.061061061061061110e+02 -8.807560539072339933e-02 -2.218464120016691316e-03
1.071071071071071117e+02 -8.807767427618749811e-02 -2.245449881141711734e-03
1.081081081081081123e+02 -8.807538593442440500e-02 -2.272435486102634874e-03
1.091091091091091130e+02 -8.806872649027688849e-02 -2.299419963216257651e-03
1.101101101101101136e+02 -8.805768781110735743e-02 -2.326401595812055585e-03
1.111111111111111143e+02 -8.804225559264365619e-02 -2.353379192603572909e-03
1.121121121121121291e+02 -8.802242286467602816e-02 -2.380351442692168681e-03
1.131131131131131298e+02 -8.799817439044323175e-02 -2.407316789768216159e-03
1.141141141141141304e+02 -8.796950894578843549e-02 -2.434274123594291645e-03
1.151151151151151311e+02 -8.793643891175394189e-02 -2.461222000453144355e-03
1.161161161161161317e+02 -8.789897697828198686e-02 -2.488159187199549035e-03
1.171171171171171324e+02 -8.785713923907723100e-02 -2.515083966812231824e-03
1.181181181181181330e+02 -8.781095114186036887e-02 -2.541995398964538508e-03
1.191191191191191336e+02 -8.776045624908156151e-02 -2.568892012082507441e-03
1.201201201201201343e+02 -8.770569280399648227e-02 -2.595772361426576698e-03
1.211211211211211349e+02 -8.764671037360559358e-02 -2.622635520830971130e-03
1.221221221221221356e+02 -8.758357609481685901e-02 -2.649479954751190591e-03
1.231231231231231362e+02 -8.751634555711552965e-02 -2.676304444617627447e-03
1.241241241241241369e+02 -8.744510053610883571e-02 -2.703107534604933405e-03
1.251251251251251375e+02 -8.736990715980272326e-02 -2.729888196158515405e-03
1.261261261261261382e+02 -8.729084221823306400e-02 -2.756645288169957356e-03
1.271271271271271388e+02 -8.720800089832973778e-02 -2.783377490921631545e-03
1.281281281281281395e+02 -8.712146462772554778e-02 -2.810083918007720734e-03
1.291291291291291543e+02 -8.703132440103354683e-02 -2.836763170052950846e-03
1.301301301301301407e+02 -8.693767296891048713e-02 -2.863414293134381675e-03
1.311311311311311556e+02 -8.684060180748746915e-02 -2.890036208604316453e-03
1.321321321321321420e+02 -8.674020677574154070e-02 -2.916627800438930176e-03
1.331331331331331569e+02 -8.663658931749440573e-02 -2.943188197763799488e-03
1.341341341341341433e+02 -8.652983496703096911e-02 -2.969716316460539480e-03
1.351351351351351582e+02 -8.642005025030827237e-02 -2.996211401048095701e-03
1.361361361361361446e+02 -8.630733229600581757e-02 -3.022672188040084057e-03
1.371371371371371595e+02 -8.619176247891106868e-02 -3.049098105037053360e-03
1.381381381381381459e+02 -8.607345253252925155e-02 -3.075488180922765838e-03
1.391391391391391608e+02 -8.595248308850282626e-02 -3.101841486478739383e-03
1.401401401401401472e+02 -8.582894555027809069e-02 -3.128157535128124438e-03
1.411411411411411621e+02 -8.570293913662933860e-02 -3.154435258951218679e-03
1.421421421421421485e+02 -8.557456156284061477e-02 -3.180674099209124944e-03
1.431431431431431633e+02 -8.544388257793306130e-02 -3.206873290049852467e-03
1.441441441441441498e+02 -8.531098146388231551e-02 -3.233031863377760270e-03
1.451451451451451646e+02 -8.517597022534194318e-02 -3.259149510265809454e-03
1.461461461461461511e+02 -8.503891329645742181e-02 -3.285225360652333643e-03
1.471471471471471659e+02 -8.489990378340801780e-02 -3.311258885548820554e-03
1.481481481481481524e+02 -8.475900740557662516e-02 -3.337249753561022641e-03
1.491491491491491672e+02 -8.461630675086653786e-02 -3.363197155169103756e-03
1.501501501501501536e+02 -8.447187702680833410e-02 -3.389100519548892982e-03
